bathrooms;hasLift;latitude;longitude;newDevelopment;price;rooms;size;exterior_0;exterior_1;floor_1;floor_2;floor_3;floor_4;floor_high;floor_en;luxury;hasParking;property_chalet;property_duplex;property_penthouse;property_studio;status_renew;y_pred;rentabilidad;property_type;floor_type
1;False;37.3913318;-5.9622749;False;114000.0;2;90.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;901.48614258347;9.489327816668105;Piso;Primer Piso
1;False;37.3931316;-5.9631649;False;95000.0;2;67.0;0;1;0;0;0;1;0;0;False;False;0;0;0;0;0;912.857886757171;11.530836464301107;Piso;Cuarto Piso
2;True;37.39222;-5.964959;False;187000.0;4;125.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;1;1119.7485119047624;7.185551948051951;Piso;Piso Alto
1;False;37.3924503;-5.965462;False;99995.0;2;53.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;843.8186339809616;10.126329924267754;Piso;Primer Piso
1;True;37.3886822;-5.9609673;False;270000.0;2;91.0;0;0;0;1;0;0;0;0;False;False;0;0;0;0;0;978.8624853801168;4.350499935022742;Piso;Segundo Piso
1;False;37.3936418;-5.9646666;False;95000.0;2;65.0;0;1;0;0;0;0;0;1;False;False;0;0;0;0;0;848.1165909696252;10.713051675405794;Piso;Entrepiso
1;True;37.3933257;-5.9591245;False;128000.0;2;77.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;887.3605128205128;8.319004807692307;Piso;Tercer Piso
1;False;37.3940569;-5.9600355;False;107000.0;3;75.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;831.4238931358498;9.324380109934765;Piso;Segundo Piso
2;True;37.388416;-5.964594;False;248000.0;2;67.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;1196.210481321839;5.788115232202447;Piso;Primer Piso
4;False;37.3892902;-5.9658046;False;710000.0;4;207.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1561.453854620222;2.6390769373862906;Chalet;Bajo/Semisótano
2;True;37.3899969;-5.9663188;True;396000.0;3;124.0;0;0;0;0;0;0;1;0;False;False;0;0;0;0;0;1122.7038146551727;3.4021327716823415;Piso;Piso Alto
2;True;37.3899969;-5.9663188;True;415000.0;3;136.0;0;0;0;0;0;0;1;0;False;False;0;0;0;0;0;1126.4413146551726;3.257179705027005;Piso;Piso Alto
2;True;37.3881894;-5.9643139;False;230000.0;3;84.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;1214.3277432266011;6.335623008138788;Piso;Segundo Piso
1;False;37.3922439;-5.9667615;False;120000.0;2;57.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;840.1528764052041;8.40152876405204;Piso;Primer Piso
1;False;37.3934369;-5.9661893;False;126000.0;3;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;813.7345076362919;7.749852453678971;Piso;Bajo/Semisótano
1;False;37.3941573;-5.9654628;False;99995.0;2;54.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;810.0496507116073;9.72108186263242;Piso;Segundo Piso
2;True;37.3951741;-5.9626704;False;187000.0;3;125.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;1;1036.8901785714286;6.653840718105424;Piso;Piso Alto
2;True;37.3873476;-5.9616669;False;239000.0;3;97.0;0;1;0;0;0;0;0;0;False;True;0;0;0;0;0;1194.054622419473;5.995253334323713;Piso;Bajo/Semisótano
